date,open,high,low,close,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
2021-12-28,1810.2,1818.0,1805.5,1812.0,146,1800.8857,1801.5267,1790.51,0.1105,0.694,0.723,61.6154,0.9289,-2.8372,1813.0389,1760.9611
2021-12-29,1805.1,1805.1,1791.4,1803.2,623,1800.7714,1799.4833,1790.7222,-0.4857,0.5615,0.7245,54.8084,1.3713,-1.9955,1814.9341,1760.9959
2021-12-30,1812.7,1816.0,1796.0,1801.7,306,1801.4714,1797.7533,1790.9989,-0.0832,0.5366,0.7189,56.8216,1.5827,-1.2799,1816.1976,1762.4224
2021-12-31,1827.5,1827.8,1821.4,1825.1,80,1806.2857,1796.5033,1791.2667,1.2988,0.6869,0.7559,67.4371,3.5969,-0.3045,1822.4579,1760.5821
2022-01-03,1799.4,1830.1,1798.8,1830.1,116,1812.5857,1795.4733,1791.69,0.274,0.6401,0.7584,66.1484,5.5329,0.863,1827.9335,1761.3665
2022-01-04,1814.0,1815.3,1800.0,1800.5,38,1811.8,1793.7833,1791.8356,-1.6174,0.8823,0.8065,54.0059,4.6254,1.6155,1828.3253,1763.0047
2022-01-05,1824.6,1824.6,1813.1,1813.1,8,1812.2428,1792.8333,1791.9433,0.6998,0.9235,0.8148,64.1486,4.8668,2.2657,1829.9609,1764.7291
2022-01-06,1788.7,1791.3,1787.1,1787.1,30,1808.6857,1792.5533,1791.5978,-1.434,1.0729,0.7218,51.7539,2.9264,2.3979,1829.9791,1764.4309
2022-01-07,1797.0,1797.0,1784.4,1791.8,17,1807.0571,1792.5133,1791.33,0.263,1.0762,0.7231,46.0797,1.7477,2.2678,1829.8694,1765.3706
2022-01-10,1798.4,1798.7,1790.4,1794.9,534,1806.0857,1792.64,1791.1233,0.173,1.0806,0.7235,49.3729,1.0516,2.0246,1828.9644,1768.3856
2022-01-11,1818.6,1822.5,1803.0,1803.9,743,1803.0571,1793.0467,1791.02,0.5014,0.9489,0.729,54.0297,1.2122,1.8621,1829.2522,1770.0478
2022-01-12,1827.2,1827.2,1816.9,1819.0,1547,1801.4714,1794.2167,1790.9989,0.8371,1.0137,0.7382,60.0121,2.5288,1.9954,1831.427,1771.073
2022-01-13,1821.2,1823.0,1815.4,1819.8,40,1804.2286,1795.7167,1790.9333,0.044,0.7562,0.7302,54.739,3.5953,2.3154,1830.5714,1777.1686
2022-01-14,1816.5,1822.0,1816.5,1821.5,816,1805.4286,1797.07,1791.3756,0.0934,0.7171,0.7286,54.0126,4.5255,2.7574,1831.4101,1780.3799
2022-01-18,1812.3,1820.1,1812.3,1816.8,900,1809.6715,1798.7133,1791.5767,-0.258,0.3506,0.7146,51.6439,4.8278,3.1715,1832.4883,1780.5817
2022-01-19,1843.1,1843.1,1817.4,1817.4,4,1813.3286,1799.9533,1791.8856,0.033,0.3584,0.7048,55.1524,5.0575,3.5487,1833.5267,1781.6033
2022-01-20,1842.5,1843.0,1838.2,1840.6,20,1819.8572,1801.99,1792.45,1.2765,0.5397,0.7379,62.1944,7.0305,4.245,1838.7176,1781.3324
2022-01-21,1831.8,1842.4,1828.9,1838.0,19,1824.7286,1803.5933,1792.9678,-0.1413,0.5658,0.7339,54.6503,8.2888,5.0538,1841.574,1783.676
2022-01-24,1841.7,1842.1,1837.9,1837.9,8,1827.4286,1805.4067,1793.3478,-0.0054,0.512,0.7292,52.9148,9.1722,5.8775,1845.084,1783.356
2022-01-25,1852.7,1852.7,1842.0,1843.0,11,1830.7429,1807.7133,1793.9044,0.2775,0.5116,0.7195,69.4419,10.1666,6.7353,1849.2129,1782.5271
2022-01-26,1829.9,1829.9,1829.9,1829.9,55,1831.9429,1809.23,1794.6944,-0.7108,0.6148,0.7297,57.6503,9.7849,7.3452,1850.6274,1782.9026
2022-01-27,1793.3,1793.3,1793.3,1793.3,196036,1828.5857,1809.44,1795.1556,-2.0001,1.0002,0.823,52.5748,6.4546,7.1671,1851.2387,1781.3013
2022-01-28,1784.9,1798.4,1778.8,1797.5,28521,1825.7429,1810.4433,1795.5478,0.2342,1.0103,0.7964,52.377,4.1069,6.5551,1851.4451,1780.675
2022-01-31,1795.0,1798.5,1785.1,1788.5,1735,1818.3,1810.6933,1795.6789,-0.5007,0.7906,0.7911,47.4563,1.5028,5.5446,1851.3878,1777.0722
2022-02-01,1800.3,1806.1,1797.1,1797.2,223,1812.4714,1810.4667,1796.0167,0.4864,0.8584,0.7594,47.3306,0.1394,4.4636,1849.6976,1775.4724
2022-02-02,1809.2,1810.1,1795.1,1797.8,1690,1806.7429,1810.5,1796.5511,0.0334,0.8609,0.7558,40.4505,-0.8824,3.3944,1849.7668,1775.1333
2022-02-03,1803.0,1808.1,1787.9,1805.8,466,1801.4286,1810.98,1797.1522,0.445,0.8821,0.7577,44.0778,-1.0348,2.5085,1849.5176,1774.6524
2022-02-04,1806.6,1813.7,1792.5,1806.0,571,1798.0143,1811.6467,1797.89,0.0111,0.8664,0.7552,43.359,-1.1265,1.7815,1848.7206,1777.3395
2022-02-07,1820.6,1821.3,1809.1,1812.2,601,1800.7143,1811.8533,1798.7767,0.3433,0.3418,0.7297,48.0541,-0.6909,1.2871,1848.3238,1779.7762
2022-02-08,1826.6,1827.6,1815.0,1818.9,108,1803.7714,1812.15,1799.8144,0.3697,0.3511,0.7317,50.6034,0.1928,1.0682,1848.3616,1782.1384
2022-02-09,1835.2,1835.2,1825.3,1825.4,683,1809.0429,1812.5967,1800.6044,0.3574,0.1915,0.7341,42.9368,1.4014,1.1348,1849.2807,1783.3693
2022-02-10,1836.2,1842.1,1820.8,1833.3,365,1814.2,1813.6,1801.3689,0.4328,0.1833,0.7312,47.9185,2.9626,1.5004,1850.8495,1783.2305
2022-02-11,1840.8,1864.8,1822.0,1822.0,181,1817.6572,1814.2767,1802.01,-0.6164,0.3851,0.7411,43.5939,3.2505,1.8504,1851.0116,1783.2884
